id,fen,move,rating
00c89,2r3k1/6pp/p1q2r2/1pn2p2/1B1pPP2/3Pn1QB/1PP2R1P/6RK w - - 3 24,g3g7,400
01DM2,6k1/5p2/1p2pn2/3pN3/1P1P1Pp1/P3r1Pp/2R2P1P/6K1 b - - 0 32,e3e1,400
025sW,r1bq1rk1/4bpp1/2p1p2p/1pPp4/1P4Q1/P3P2P/1B1N1PP1/R3R1K1 w - - 0 18,g4g7,400
03tCw,4r2k/3q2pp/2p3p1/p3p3/Pp1pP3/1P1P1R2/2P5/1K3R2 w - - 1 34,f3f8,400
052is,6k1/1p4pp/6P1/2r2P1P/b7/P2R2K1/2n5/8 w - - 6 44,d3d8,400
04go3,2r3k1/R2R2p1/4p1pp/8/7r/1P6/P4PP1/6K1 b - - 0 32,c8c1,407
04FOX,6k1/4pp1p/6pB/8/b2R4/2P5/r5PP/6K1 w - - 1 24,d4d8,409
01ZiW,8/R7/8/5k2/3r3p/6pP/6P1/6K1 b - - 4 70,d4d1,411
0550i,2r3k1/p1pR1ppp/1p4b1/2r5/2P1P3/5B1P/P4KP1/3R4 w - - 3 26,d7d8,413
02HQm,7k/p6p/1p4pP/2p1r3/2Pp1R2/6PK/P1P5/8 w - - 6 41,f4f8,419
057Sc,3q3k/1p4p1/3R1N1p/6r1/8/7P/PP3PP1/6K1 w - - 8 44,d6d8,423
03mkp,r1b1r1k1/p1R2pp1/2Q4p/8/3N4/2P1q3/PP4PP/R6K b - - 0 24,e3e1,424
04BI3,6kr/p1p2ppp/8/8/3r2bq/8/PPP2NPP/R1B1R1K1 w - - 2 18,e1e8,426
04Bmg,6k1/5ppp/8/3r2P1/1R3p1P/5P2/1P3K2/8 w - - 0 33,b4b8,428
02NvQ,2krr3/1pp3p1/p4p2/5P2/5P2/7P/PPQp2R1/1R1KBB2 b - - 3 30,d2e1q,434
01GC2,3b1k2/pp3prp/8/1Bp5/4R3/1P6/P4PPP/1K6 w - - 0 22,e4e8,437
02qe6,r5k1/pp3ppp/2n1r3/8/8/2N1qB2/PPQ3PP/4RK1R b - - 2 20,e3e1,438
00VC1,1k2r3/p2Q1R2/8/1p5p/P1P3p1/8/6PP/7K b - - 2 44,e8e1,442
01qHx,5k2/p4p1p/1p4p1/8/4P3/2r5/PR3PPP/6K1 b - - 0 23,c3c1,445
01Kn5,8/8/8/5R2/1P6/6k1/r6p/7K b - - 2 50,a2a1,449
00w1s,rn2q1k1/pb3p1p/1p1p2pB/3P3n/8/2bB1N1P/PP3PP1/4R1K1 w - - 1 18,e1e8,456
04Mmx,4r1k1/4P1pb/4r2p/p1p1p3/P2p2PP/1P3R2/2P2R2/6K1 w - - 0 40,f3f8,457
008Nz,6k1/2p2ppp/pnp5/B7/2P3PP/1P2PPR1/r3b2r/3R2K1 w - - 1 29,d1d8,458
01fBk,7k/8/8/2prp3/1p2Nnp1/1P4P1/P4R1P/7K b - - 0 40,d5d1,461
03BFA,8/R7/3r4/4p1p1/4Pp1k/5P2/5K2/8 w - - 0 46,a7h7,462
0266v,rnbqkb1r/ppppp2p/8/7p/2PPp3/8/PP3PP1/RNBQKBN1 w Qkq - 0 6,d1h5,464
0217e,1rb1k2r/b5p1/p2pPp1p/qp1Q4/7N/1P6/P4PPP/R1B1R1K1 b k - 0 19,a5e1,468
028pN,2r5/6pk/5p1p/5P2/3P1P1N/bP4P1/P2R3P/1K6 b - - 0 41,c8c1,468
02f5f,1k2r3/ppp4p/2n5/8/3P1q2/P1P4P/5PP1/1R2R1K1 w - - 4 24,e1e8,469
02T4Z,1k3b1r/qpp2ppp/3r4/8/6B1/3n3P/1P3PP1/2R1QRK1 w - - 0 19,e1e8,471
008o6,Q4rk1/p1p3p1/6P1/8/3P4/7P/q3r3/B4RK1 w - - 1 34,a8f8,472
02gZ7,7Q/1p2R3/5np1/3p1rk1/P2Nn3/8/1PP3b1/2K5 b - - 6 37,f5f1,473
04rhx,r4rk1/1bBn2pp/p3p3/5pN1/2BPq3/P3P2P/5PP1/2RQ1RK1 b - - 1 18,e4g2,474
00all,6k1/5ppp/4p1b1/1n1pP3/1P6/r7/5PPP/2R2BK1 w - - 0 25,c1c8,476
01nhK,4k2r/Bpp1bpp1/3p1nq1/3P4/2P3b1/1P3pP1/1P1NQP1P/4R1K1 w k - 1 18,e2e7,476
05332,2b1r2k/2p4p/p2b1ppB/1p1P4/3R4/PB5P/1PP2PP1/6K1 b - - 2 26,e8e1,479
04wOM,3r2k1/pp3ppp/1b6/8/8/4QN2/PPq2PPP/4R1K1 w - - 0 19,e3e8,486
00dpQ,6k1/5ppp/8/1r2rP2/6P1/2RK3P/8/7B w - - 0 47,c3c8,490
02IQK,3nr2k/pb1Q2pp/1p6/8/8/5P2/P5PP/6K1 w - - 0 25,d7e8,490
04Ldg,3r2k1/1bqr1pp1/p3p2p/1p2p2N/4PbQP/2P3R1/PP1p1PP1/3R1BK1 w - - 0 24,g4g7,490
04MQ7,r1b2rk1/pp2qppp/2n1p3/3p2N1/8/1B1QP3/P1P3PP/R4RK1 w - - 1 16,d3h7,490
022dd,r7/3r1kp1/8/4B2R/2R5/p6P/5PP1/2n2K2 b - - 8 33,d7d1,494
00o7c,2r3k1/pb3ppp/1p2pq2/1P6/2Q1PP2/6P1/P5BP/2R3K1 w - - 0 24,c4c8,496
043MW,r5k1/1p3p2/p2bpPpB/3p3R/P5Qp/3q3P/6P1/5R1K b - - 1 27,d3f1,497
005N7,r6k/2q3pp/8/2p5/R1np4/7P/2PB1PP1/6K1 w - - 0 32,a4a8,503
00XNY,2r3k1/p4p2/1p1pq3/2p2p2/7R/2Q4P/1P3PP1/6K1 w - - 1 34,c3h8,503
037ht,r1b1k1nr/pp2pp1p/2N1q1p1/2p5/8/1P3B2/PbP2P1P/RN1Q1K1R w kq - 5 12,d1d8,504
01Inf,r6k/pp2R1pp/3p4/q7/8/8/Pb3PPP/4R1K1 w - - 0 29,e7e8,509
04q0u,r1b1kbnr/ppp2ppp/4q3/4PnB1/8/5N2/PPP2PPP/RN1Q1RK1 w kq - 4 9,d1d8,511
056SE,2kr4/ppp2p2/7p/n1Pp1b2/3P3P/P1N1RNp1/1P4P1/2KR4 b - - 2 26,a5b3,512
04gq1,2k2r2/pppn2p1/3b4/8/3P2q1/2P2n2/PP2R3/RN1KQ3 w - - 6 28,e2e8,514
0119E,5q1k/7p/3Np1bP/4P3/3P2P1/2n5/8/5QK1 w - - 6 45,f1f8,516
01qIp,5rk1/p5pp/2ppp3/4p2R/4N1Q1/8/PPP3P1/1K6 b - - 3 22,f8f1,518
01xow,7k/ppq3pp/2pNQpn1/2Pp4/8/6P1/PP4PP/3rN1K1 w - - 0 24,e6e8,518
047lo,2r3k1/p2Q1pp1/4p2p/3nP3/3pB2P/1q3NP1/1r3P2/4BK1R w - - 3 26,d7c8,518
01ykJ,1R6/R5p1/p1b1k3/2P5/8/2n1P3/5PpP/6K1 b - - 0 31,c3e2,523
02Or9,2n2r1k/p1q4p/2P3p1/2Q1b3/3P4/7P/P4PP1/5RK1 w - - 1 24,c5f8,525
02ndg,r1bq1rk1/pp2ppb1/3p4/6Np/2Pn4/2NQ2P1/PP3PP1/R3K2R w KQ - 1 13,d3h7,528
03Vdf,2kr3r/p1p1bp2/1pnp4/4p3/1PPPn1p1/P1NQP1Pp/1B3R1P/R5NK b - - 0 20,e4f2,530
00FHX,2r3k1/5p1p/4pP2/3p3P/8/5P2/p5P1/1bR3K1 w - - 0 30,c1c8,532
01Yq1,r4rk1/1bppbppp/p1q5/1p2P3/3N1Q2/1B1P4/PPP2PPP/R4RK1 b - - 1 18,c6g2,532
00kQE,1rb4k/p5pp/1p6/3R4/2B1p3/8/PP3rPP/1K5R w - - 1 26,d5d8,534
02MII,2r3k1/pp3ppp/4pn2/3p4/1P5P/P5P1/4nbBK/2R5 w - - 1 24,c1c8,534
04YNB,5r1k/2p2ppp/p1q1b3/3p4/1Q1Pn3/4P2P/PP3PP1/R3K2R w KQ - 0 18,b4f8,534
02jkb,r1bqr1k1/5ppp/p4b2/1pp5/8/1P1B4/P2PQPPP/RN2R1K1 w - - 0 15,e2e8,536
00dOP,r2q1k1r/pbp1bppp/1p2p3/1B1nN3/3P1Q2/8/PPP2PPP/R1B2RK1 w - - 5 12,f4f7,541
04LeD,r5k1/pp3r2/4Q3/3R4/7N/2P3P1/PP3q1P/7K b - - 1 34,f2f1,541
03DWn,rn2k2r/pNb3p1/2pqpp1p/8/3P4/2P4P/PP2BRP1/R2Q2K1 b kq - 3 17,d6h2,542
01HBm,r4rk1/pb2bpp1/4pn1p/2pqN3/3p4/3P2BP/PPP1NPP1/1R1Q1RK1 b - - 2 15,d5g2,543
03EFQ,6k1/p5rp/p3p1p1/1b1rN3/4p3/PP2K3/7P/2R5 w - - 1 32,c1c8,544
04lXe,5r1k/p5pp/1p5q/n7/3P2nN/2P1r1P1/PP2B2P/R4RK1 w - - 2 22,f1f8,544
004iZ,r2r2k1/2q1bpp1/3p3p/1ppn4/1P1BP3/P5Q1/4RPPP/R5K1 w - - 1 20,g3g7,546
03XRi,6k1/5ppp/4p3/1n1pP3/3P4/4P3/1Brp2PP/R4K2 w - - 3 26,a1a8,549
008GK,1k6/ppp3p1/8/1P5p/8/P3n2P/2P1r1P1/B2rNRK1 w - - 4 31,f1f8,550
011Ob,1B6/5kpp/8/pp1K4/6r1/3N4/7P/8 w - - 0 37,d3e5,552
03tx8,6k1/5p2/1p4pp/p2Br3/P6n/1QP5/1P3P1P/4R1K1 b - - 4 32,e5e1,556
057XH,2r1k2r/pp3p1p/4pQp1/1b1pPn2/3P1P2/8/P4RPP/RNB3K1 b k - 8 20,c8c1,556
03Ejm,6k1/6pp/4p3/2Pp4/8/1n3PP1/7P/6K1 w - - 0 38,c5c6,558
00zVd,3rkbnr/1pp3pp/p4p2/4N3/4R3/8/PPP2PPP/RNB3K1 b k - 0 11,d8d1,560
0042j,3r2k1/4nppp/pq3b2/1p2p3/2r2P2/2P1NR2/PP1Q2BP/3R2K1 w - - 0 24,d2d8,561
04s0y,r7/p1qp1rb1/npp1p2k/4P1Np/2PPB1PP/8/PP3P2/R4RK1 w - - 3 25,g5f7,561
00HHN,4r2k/p4R1p/1p6/2p5/2P5/1P4R1/r5PP/2K5 b - - 0 32,e8e1,564
027j3,r3k2r/pb1p1ppp/1p3nq1/2n1N3/5Q2/NPP1P2P/PB2BPP1/R4RK1 b kq - 3 17,g6g2,566
03T43,1R6/5Ppk/6p1/3b4/p3q3/7P/6QK/8 b - - 0 42,e4g2,568
054oh,2r4k/p4Qpp/1pr5/3p4/3P4/4q1P1/PP3RKP/8 w - - 1 32,f7f8,569
022yi,rn3rk1/1bp2ppp/p3pb2/3q4/3P4/2PQ4/P1B1NPPP/R1B2RK1 b - - 3 14,d5g2,570
01z8k,8/8/1K6/P7/6kp/8/8/8 b - - 0 55,h4h3,571
04HLq,8/5kpp/4p3/2P1P3/qP6/5rP1/1Q1R3P/2K5 b - - 1 29,f3f1,572
03UeU,6k1/6pp/R4p2/1p6/1P6/2P2N2/1r3PPP/6K1 b - - 0 30,b2b1,574
043zc,4r1k1/1p1q1pp1/p6p/2PP4/4Q3/8/5PPP/4R1K1 w - - 0 25,e4e8,575
028aJ,6k1/5ppp/Rp2p3/1P6/2nr1PP1/8/5K1P/8 w - - 1 35,a6a8,576
03M6Y,3r3k/pp3pp1/5b1p/q1p2B2/3p4/PP1P2P1/2P1QP1P/4R1K1 w - - 2 26,e2e8,576
02ksV,8/7k/1B4pp/P4b2/1R2p3/8/r4PPP/6K1 b - - 0 32,a2a1,577
01xzs,r5k1/6pp/p1R5/4Pp2/1P3P2/4P3/1P3P1r/R4K2 b - - 1 28,h2h1,580
04p7f,3rr1k1/ppp1qppp/3b4/3P4/8/P4Q1P/1PP2PP1/R1B1R1K1 b - - 0 16,e7e1,580
02u0t,8/8/1p1r4/p1p3k1/P1P5/1PP4P/4KN2/8 w - - 6 50,f2e4,581
00KVb,2k2r2/pp5p/3p4/3Nb1p1/8/1P1P3P/P1PR4/1K3R2 b - - 3 28,f8f1,582
00wVj,5k2/R4p2/P6p/5p2/r3p3/2p3N1/2P1R1P1/2K5 b - - 1 44,a4a1,582
01Eta,3r4/5kp1/1pp5/6p1/1P1q1pN1/P3p2P/4Q1P1/3R3K b - - 2 33,d4d1,583
01rp4,8/pp4p1/2b1p1k1/3q1n2/3P1Q2/4B3/5PPP/R5K1 b - - 3 28,d5g2,583
021cG,5rk1/2p2p2/ppB1p1p1/4Q3/1PP3q1/P6R/5PPP/3R2K1 b - - 1 27,g4d1,583
04QuI,3rr1k1/ppp2ppp/1q6/4Q3/8/P2b1B1P/5PP1/4R1K1 w - - 0 27,e5e8,583
00JQS,7k/pb3rpp/2p5/5p2/3P4/8/PPP2PPP/4R1K1 w - - 0 21,e1e8,584
01337,1k6/ppp3r1/8/P1b5/4R3/7P/1PPr4/R6K w - - 0 25,e4e8,584
04oYd,6k1/3R1p1p/p5pK/2p2p2/2P5/P3r2P/6P1/8 w - - 2 39,d7d8,584
01aGC,3Qq2k/6pp/8/2p5/P3p3/3p3P/1rr2PP1/1R3RK1 w - - 3 29,d8e8,585
03B7b,7k/6p1/1p5b/p4B1Q/1P3q1p/7P/5PP1/7K w - - 0 38,h5e8,585
04ADf,8/4p2p/4k1p1/4P3/2P3b1/4R1P1/P2Kr3/8 w - - 14 45,e3e2,585
009tE,6k1/6pp/p1N5/1pP2bp1/5P2/8/PPP5/3K4 w - - 1 28,c6e7,587
01xyJ,8/7p/5Kpk/5p2/8/4p1r1/8/4R3 w - - 3 43,e1h1,587
03r25,3r2k1/1pp2pp1/2p2n1p/p3pQ2/1P2P1N1/P2r4/5PPP/R5K1 b - - 0 21,d3d1,587
043WP,6k1/4R1p1/8/7P/4Q3/5p2/1q4PK/8 b - - 0 54,b2g2,587
00LdT,r5k1/pbp2ppp/6q1/3p4/3p3r/2P1R1P1/PP2QP1P/R5K1 w - - 1 20,e3e8,590
00eCY,8/6p1/5p1p/R2b2kP/6P1/1r3PK1/8/8 w - - 4 61,a5d5,590
03Ap5,7k/6p1/p2b3p/2pPp3/2P5/4BqP1/P5KP/8 w - - 1 32,g2f3,590
03tA7,r1bq1k1r/p4pb1/2p3pp/2p1Pp2/5B1P/2P2N2/PP1Q1PP1/R3K2R w KQ - 0 15,d2d8,590
00MTG,4r1k1/2p1qpp1/3p4/1p1P2PQ/1P6/3R3P/2PBrb2/5RK1 w - - 6 26,f1f2,591
01ujj,8/1K6/8/6kp/8/8/P7/8 b - - 0 46,h5h4,592
01Wni,2rn2k1/p2bRppp/8/3B2N1/8/8/P4PPP/2R3K1 b - - 0 24,c8c1,593
03CkS,r4r1k/2p5/p2p1q1p/1p1Pp1p1/4P3/PB1P1Qpb/1PP2R2/4R1K1 w - - 1 23,f3f6,593
03ZLx,8/2N1k1p1/3p3p/8/1r4P1/5K1P/8/8 w - - 0 40,c7d5,593
02eRO,6k1/1R3p1p/6p1/1p1r1b2/8/2Bp3P/6P1/6K1 w - - 5 46,b7b8,594
050sa,2r3k1/4ppb1/p1Np2p1/8/7P/1P2B3/6P1/5K2 w - - 0 37,c6e7,594
00JS1,2r5/1p2k1pp/4p3/1N3p2/5P2/P2nP3/3R2PP/6K1 b - - 0 24,c8c1,595
04X0G,3r2k1/5pp1/4p2p/8/4n3/5P2/P1R3PP/3R2K1 b - - 1 30,d8d1,595
010Jc,rnb1k2r/bpqp1pp1/p3p3/7p/4P1n1/1NNB3P/PPP1QPP1/R1B2R1K b kq - 1 11,c7h2,596
02s84,4rk2/R7/8/3b4/R7/2b3PP/5P2/6K1 b - - 6 38,e8e1,596
00fgg,4r1k1/p4ppp/8/8/8/8/PP1R1PPP/K7 b - - 0 21,e8e1,597
02gPh,4r1k1/pp4pp/2pb1p1B/3p4/3P2Q1/1P5P/P1P2PP1/4N1K1 b - - 4 30,e8e1,597
02rBP,6k1/2N2ppp/5n2/Q3p3/4Pn2/5P1P/2q3PK/8 w - - 2 36,a5a8,597
00ghH,5r1k/6p1/1Q2pq1p/P2P1r2/8/2P1R3/6PP/4R1K1 b - - 1 39,f5f1,598
01uYa,r4r1k/ppp2Rpp/8/4q3/2Bb2b1/2N5/PP4PP/R4Q1K w - - 0 17,f7f8,598
034Pi,r4rk1/pb1q1pp1/1p5p/2p5/2R5/3B3P/PP3PP1/3QR1K1 w - - 1 18,d3h7,598
03ba5,6k1/1R3p1p/2r1p1p1/3p1b2/2pB4/4P2P/5PP1/6K1 w - - 1 34,b7b8,598
04eIu,r5k1/5ppp/4p2b/1qp1P3/8/1PB1P3/2PP2PP/R5K1 w - - 0 26,a1a8,598
04Ivl,4q1k1/pp3pp1/2nN1n1p/8/3p4/1P1P1BPb/PBQ2P1P/6K1 b - - 0 22,e8e1,599
04Zsd,8/3k3p/4p1p1/3p1p2/8/1PrP4/P2R1PPP/6K1 b - - 0 27,c3c1,599
04tOW,6R1/2kr4/4R1p1/1p3pB1/p7/8/5PPP/6K1 b - - 7 38,d7d1,599
00QZV,r1bk4/pppp3p/2n5/2b1prN1/8/1B6/PPPP2PP/RNB2R1K b - - 1 14,f5f1,600
00ns1,5rk1/pp5p/2p1P1p1/3pN3/5r2/2P4Q/PP4PP/5R1K b - - 2 25,f4f1,600
01tqF,2r2rk1/p4ppp/1p2p3/3pP2Q/3N4/7R/P4PPP/2R3K1 b - - 1 23,c8c1,600
02MUO,3q1r1k/pb5p/2n3pP/3pP3/2pP4/2N5/PPP2R2/2K2R2 w - - 9 29,f2f8,600
02r0o,5k2/5pp1/q1p2P2/p1P1P3/6p1/P6r/3R3B/7K w - - 1 39,d2d8,600
02yfS,r5k1/pp3pp1/7p/3P2qn/8/1P1BRP1P/4RP1K/8 w - - 7 26,e3e8,600
034f3,r1b4k/pp4pp/6p1/2pB4/5r2/2b5/P4PPP/3RR1K1 w - - 0 20,e1e8,600
04pxp,2r3k1/pp2Qppp/8/3p4/2rP4/6PP/PP6/K1R3R1 b - - 5 25,c4c1,600
01hbV,3r2k1/1B3n1p/6p1/2P2p2/1P6/2Q1P3/2P2PPP/6K1 b - - 0 31,d8d1,601
03sTE,6k1/p2r1ppp/1p2p3/3p4/3P4/P3P2P/1P3PP1/2R3K1 w - - 0 22,c1c8,601
038Ql,r5k1/q4p1p/r2p4/3QpPb1/4P3/1N3P2/1PP4P/1K1RR3 b - - 1 26,a6a1,603
01BjV,1r6/8/3bk3/2p5/P2pN3/3P3P/R4PP1/6K1 b - - 2 47,b8b1,605
00Xiu,8/pp3Q1p/1n2B1pk/8/5PPq/7P/PPP5/2K5 b - - 10 31,h4e1,608
02qNU,5k1r/p4p2/1q2pPp1/4P1p1/3p2N1/7P/PP3PK1/2R5 w - - 0 28,c1c8,608
04l2y,8/R6p/p2p1ppk/3Pp3/1r2P3/5N2/5PPP/6K1 b - - 2 28,b4b1,608
01749,6k1/5ppp/4p3/3n4/2rB4/1r4P1/5PKP/R2q4 w - - 1 32,a1a8,609
03JlS,3r2k1/p3rpp1/1p2bq1p/1N6/8/P3P3/1PQ2PPP/3R2K1 w - - 15 26,d1d8,613
04gCa,6k1/1pp2npp/1b6/p2p4/3P4/P1P3PP/1P4P1/4R1K1 w - - 0 24,e1e8,613
019yp,7k/p1q3pp/2p1Q1p1/8/8/5rN1/P1P3P1/6K1 w - - 1 26,e6e8,614
01MPw,3r4/p1k3q1/1p2p2p/2p1n1p1/2P1N3/P3R1Q1/1P3PPP/6K1 b - - 1 29,d8d1,614
04vs1,1k1r4/p7/1ppq3p/4pP2/PR2Q3/2P2P2/1P6/2KB4 b - - 0 35,d6d1,614
02yro,1r2r1k1/p1p2pp1/2QPq2p/6n1/8/2N5/PPP2PPP/1R2R1K1 b - - 1 18,e6e1,615
04XDG,3k4/7R/p2K4/8/8/6r1/8/8 w - - 2 51,h7h8,615
02vA1,r6k/7p/5R1P/4pP2/8/2nB4/5PP1/5K2 b - - 0 31,a8a1,617
04uZm,4r1k1/6b1/p1Q3N1/1p3p1p/2p3nP/P7/5PP1/4R1K1 b - - 1 36,e8e1,618
00ohT,6rk/3R3p/4P2r/1p3p2/p7/P1P5/1P3Rp1/4Q1K1 b - - 1 42,h6h1,619
02ZYT,3r2k1/1n1rbppp/pp2p3/2p1N3/1PP1P3/P3B3/5PPP/2RR2K1 b - - 3 19,d7d1,619
04SUW,2rq1rk1/3n1ppp/p3p3/1pbn4/5B2/2PQ4/PPBN1PPP/R4RK1 w - - 8 15,d3h7,621
